i	j	weight	agglo.x	agglo.y
AAPOLY6166	AD3612	5.166666666666667	COMPIEGNE	PARIS
AD2274	AD3460	4.333333333333333	SHANGHAI	LILLE
AD3577	AD8361	4.333333333333333	NICE	AMSTERDAM
AAPOLY19515	AAPOLY19525	4	AVEIRO	BRAGANCA
AAPOLY19515	AD9204	3	AVEIRO	LISBON
AD3933	AD4106	3	AACHEN-JULICH	RURH-DUSSELDORF-COLOGNE
AAPOLY19515	AAPOLY31878	2	AVEIRO	TUSCALOOSA
AAPOLY21224	AD19018	2	CASTELLON-DE-LA-PLANA	MURCIA
AAPOLY21413	AD10636	2	MALAGA	GENEVA
AAPOLY31	AD1077	2	ALGER	LIEGE
AAPOLY6836	AD3481	2	LE-BOURGET-DU-LAC	LYON
AD3116	AD3460	2	BORDEAUX	LILLE
AAPOLY14560	AD6467	1.3333333333333333	CESENA	BOLOGNA
AAPOLY1795	AAPOLY7569	1.3333333333333333	LOUVAIN-LA-NEUVE	REIMS
AAPOLY19515	AAPOLY19553	1.3333333333333333	AVEIRO	COVILHA
AAPOLY19515	AD9222	1.3333333333333333	AVEIRO	PORTO
AAPOLY5541	AD3577	1.3333333333333333	ALBI	NICE
AAPOLY7474	AD3481	1.3333333333333333	POITIERS	LYON
AD6715	AD6748	1.3333333333333333	MILAN-PAVIA	NAPLES
AD6467	AD6748	1.1666666666666667	BOLOGNA	NAPLES
AALIGNE17704	AAPOLY7474	1	MARRAKECH	POITIERS
AALIGNE23488	AD8422	1	ABU-DHABI	EINDHOVEN-TILBURG
AAPOINT17724	AAPOLY17696	1	SETTAT	FES
AAPOINT20276	AD2786	1	JEDDAH	CAIRO
AAPOINT3970	AD10869	1	HUAINAN	KAOHSIUNG
AAPOINT4011	AD2329	1	JINGMEN	WUHAN
AAPOINT88	AAPOLY7474	1	MOSTAGANEM	POITIERS
AAPOLY10037	AD15354	1	LUNEBURG	NEW-HAVEN
AAPOLY10037	AD6966	1	LUNEBURG	TURIN
AAPOLY11479	AD518	1	LEGON	MELBOURNE
AAPOLY15017	AD6467	1	PARMA	BOLOGNA
AAPOLY1685	AD1081	1	DIEPENBEEK	LEUVEN
AAPOLY1685	AD974	1	DIEPENBEEK	ANTWERPEN
AAPOLY1795	AD1077	1	LOUVAIN-LA-NEUVE	LIEGE
AAPOLY19515	AAPOLY19524	1	AVEIRO	BRAGA
AAPOLY19515	AAPOLY2686	1	AVEIRO	SANTOS
AAPOLY19515	AD1537	1	AVEIRO	SAO-PAULO
AAPOLY19515	AD7725	1	AVEIRO	TOKYO
AAPOLY19524	AD9204	1	BRAGA	LISBON
AAPOLY21013	AD9989	1	JINJU	SEOUL
AAPOLY21413	AD11950	1	MALAGA	LONDON
AAPOLY21606	AAPOLY289	1	VALLADOLID	SANTA-FE
AAPOLY24334	AD12057	1	KINGSTON-UPON-HULL	NOTTINGHAM
AAPOLY5541	AD3840	1	ALBI	TOULOUSE
AAPOLY5666	AD3612	1	AVIGNON	PARIS
AAPOLY5778	AAPOLY7634	1	BETHUNE	ROUEN
AAPOLY6166	AAPOLY6319	1	COMPIEGNE	DURY-LES-AMIENS
AAPOLY6166	AD1077	1	COMPIEGNE	LIEGE
AAPOLY6166	UNKNOWN_35410	1	COMPIEGNE	CILEGON
AAPOLY6270	AD3116	1	DAX	BORDEAUX
AAPOLY7284	AD9124	1	MULHOUSE	VANDOEUVRE-LES-NANCY
AAPOLY7474	AD2100	1	POITIERS	DALIAN
AAPOLY7474	AD3567	1	POITIERS	NANTES
AAPOLY7474	AD3612	1	POITIERS	PARIS
AAPOLY7474	AD3840	1	POITIERS	TOULOUSE
AAPOLY7569	AD3567	1	REIMS	NANTES
AAPOLY7634	AD11844	1	ROUEN	PUNE
AAPOLY7634	AD2977	1	ROUEN	TURKU
AAPOLY7846	AD3567	1	SAINT-NAZAIRE	NANTES
AAPOLY8089	AD3612	1	THONON-LES-BAINS	PARIS
AAPOLY8722	AD19018	1	BIELEFELD	MURCIA
AAPOLY8904	AD4106	1	CLAUSTHAL-ZELLERFELD	RURH-DUSSELDORF-COLOGNE
AD1033	AD4076	1	GHENT	BERLIN
AD10443	AD2652	1	LUND	COPENHAGEN
AD1077	AD3116	1	LIEGE	BORDEAUX
AD10833	AD4076	1	ZURICH	BERLIN
AD1921	AD5510	1	SASKATOON	DELHI
AD2100	AD3933	1	DALIAN	AACHEN-JULICH
AD2274	AD3481	1	SHANGHAI	LYON
AD2274	AD3612	1	SHANGHAI	PARIS
AD2274	AD4837	1	SHANGHAI	ROSTOCK
AD2405	AD2977	1	BOGOTA	TURKU
AD2652	UNKNOWN_35404	1	COPENHAGEN	GUIYANG
AD2865	AD2977	1	HELSINKI	TURKU
AD2977	AD6748	1	TURKU	NAPLES
AD3116	AD4490	1	BORDEAUX	KARLSRUHE
AD3460	AD9414	1	LILLE	MOSCOW
AD3481	AD3549	1	LYON	MONTPELLIER
AD3481	AD3822	1	LYON	STRASBOURG
AD3549	AD6467	1	MONTPELLIER	BOLOGNA
AD3549	AD6966	1	MONTPELLIER	TURIN
AD3567	AD9414	1	NANTES	MOSCOW
AD3612	AD3661	1	PARIS	RENNES
AD3661	AD3840	1	RENNES	TOULOUSE
AD3661	AD4837	1	RENNES	ROSTOCK
AD3822	AD9073	1	STRASBOURG	LODZ
AD4106	AD5240	1	RURH-DUSSELDORF-COLOGNE	THESSALONIKI
AD7725	AD9073	1	TOKYO	LODZ
AD3460	AD3612	0.6666666666666666	LILLE	PARIS
AD3481	AD3612	0.6666666666666666	LYON	PARIS
AD3549	AD4610	0.43333333333333335	MONTPELLIER	FRANKFURT-MAINZ-DARMSTADT
AALIGNE17534	AD6715	0.3333333333333333	SALTILLO	MILAN-PAVIA
AALIGNE17534	AD6748	0.3333333333333333	SALTILLO	NAPLES
AALIGNE2927	AAPOLY6370	0.3333333333333333	YAOUNDE	EVREUX
AALIGNE2927	AD3549	0.3333333333333333	YAOUNDE	MONTPELLIER
AALIGNE4376	AAPOINT4416	0.3333333333333333	CALI	POPAYAN
AALIGNE4376	AAPOLY7474	0.3333333333333333	CALI	POITIERS
AAPOINT17692	AD3460	0.3333333333333333	EL-JADIDA	LILLE
AAPOINT17692	UNKNOWN_35409	0.3333333333333333	EL-JADIDA	BEN-GUERIR
AAPOINT303	AAPOLY17380	0.3333333333333333	VIEDMA	CUERNAVACA
AAPOINT303	AD10127	0.3333333333333333	VIEDMA	GRENADE
AAPOINT4416	AAPOLY7474	0.3333333333333333	POPAYAN	POITIERS
AAPOLY14560	AD6715	0.3333333333333333	CESENA	MILAN-PAVIA
AAPOLY14780	AD3822	0.3333333333333333	LAQUILA	STRASBOURG
AAPOLY14780	AD6859	0.3333333333333333	LAQUILA	ROME
AAPOLY16924	AD20069	0.3333333333333333	BEIRUT	TUNIS
AAPOLY16924	AD3481	0.3333333333333333	BEIRUT	LYON
AAPOLY17380	AD10127	0.3333333333333333	CUERNAVACA	GRENADE
AAPOLY1795	AAPOLY5778	0.3333333333333333	LOUVAIN-LA-NEUVE	BETHUNE
AAPOLY1795	AD3612	0.3333333333333333	LOUVAIN-LA-NEUVE	PARIS
AAPOLY1795	AD3822	0.3333333333333333	LOUVAIN-LA-NEUVE	STRASBOURG
AAPOLY19515	AAPOLY21470	0.3333333333333333	AVEIRO	OURENSE
AAPOLY19515	AAPOLY2652	0.3333333333333333	AVEIRO	SALVADOR
AAPOLY19515	AD10243	0.3333333333333333	AVEIRO	SARAGOSSA
AAPOLY19515	AD3328	0.3333333333333333	AVEIRO	GRENOBLE
AAPOLY19515	AD3577	0.3333333333333333	AVEIRO	NICE
AAPOLY19515	AD3612	0.3333333333333333	AVEIRO	PARIS
AAPOLY19515	AD5683	0.3333333333333333	AVEIRO	YORK
AAPOLY19515	UNKNOWN_35484	0.3333333333333333	AVEIRO	SETUBAL
AAPOLY19525	AAPOLY21470	0.3333333333333333	BRAGANCA	OURENSE
AAPOLY19525	AAPOLY2652	0.3333333333333333	BRAGANCA	SALVADOR
AAPOLY19525	AD10243	0.3333333333333333	BRAGANCA	SARAGOSSA
AAPOLY19553	AD9204	0.3333333333333333	COVILHA	LISBON
AAPOLY21265	AAPOLY5541	0.3333333333333333	DONOSTIA-SAN-SEBASTIAN	ALBI
AAPOLY21265	AD3577	0.3333333333333333	DONOSTIA-SAN-SEBASTIAN	NICE
AAPOLY31787	AD10167	0.3333333333333333	TOLEDO	MADRID
AAPOLY31787	AD14825	0.3333333333333333	TOLEDO	MADISON
AAPOLY4616	AD10127	0.3333333333333333	SANTA-CLARA	GRENADE
AAPOLY4616	AD5272	0.3333333333333333	SANTA-CLARA	HONG-KONG
AAPOLY5441	AD2977	0.3333333333333333	OULU	TURKU
AAPOLY5441	AD9433	0.3333333333333333	OULU	NOVOSIBIRSK
AAPOLY5778	AAPOLY7569	0.3333333333333333	BETHUNE	REIMS
AAPOLY6319	AD3116	0.3333333333333333	DURY-LES-AMIENS	BORDEAUX
AAPOLY6319	AD6715	0.3333333333333333	DURY-LES-AMIENS	MILAN-PAVIA
AAPOLY6370	AD3549	0.3333333333333333	EVREUX	MONTPELLIER
AAPOLY7474	AD2274	0.3333333333333333	POITIERS	SHANGHAI
AD10127	AD10167	0.3333333333333333	GRENADE	MADRID
AD10127	AD5272	0.3333333333333333	GRENADE	HONG-KONG
AD10127	AD6748	0.3333333333333333	GRENADE	NAPLES
AD10167	AD11739	0.3333333333333333	MADRID	GLASGOW
AD10167	AD14825	0.3333333333333333	MADRID	MADISON
AD10167	AD3481	0.3333333333333333	MADRID	LYON
AD10167	AD6748	0.3333333333333333	MADRID	NAPLES
AD10501	AD10521	0.3333333333333333	STOCKHOLM	UPPSALA
AD10501	AD10949	0.3333333333333333	STOCKHOLM	BANGKOK
AD10521	AD10949	0.3333333333333333	UPPSALA	BANGKOK
AD11428	AD11681	0.3333333333333333	BELFAST	EDINBURGH
AD11428	AD4837	0.3333333333333333	BELFAST	ROSTOCK
AD11681	AD4837	0.3333333333333333	EDINBURGH	ROSTOCK
AD11739	AD3481	0.3333333333333333	GLASGOW	LYON
AD12057	AD3549	0.3333333333333333	NOTTINGHAM	MONTPELLIER
AD12057	AD4610	0.3333333333333333	NOTTINGHAM	FRANKFURT-MAINZ-DARMSTADT
AD1993	AD3116	0.3333333333333333	WATERLOO-GUELPH	BORDEAUX
AD1993	AD9204	0.3333333333333333	WATERLOO-GUELPH	LISBON
AD20069	AD3481	0.3333333333333333	TUNIS	LYON
AD2977	AD9433	0.3333333333333333	TURKU	NOVOSIBIRSK
AD3116	AD6715	0.3333333333333333	BORDEAUX	MILAN-PAVIA
AD3116	AD9204	0.3333333333333333	BORDEAUX	LISBON
AD3213	AD3481	0.3333333333333333	CLERMONT-FERRAND	LYON
AD3213	AD4610	0.3333333333333333	CLERMONT-FERRAND	FRANKFURT-MAINZ-DARMSTADT
AD3328	AD3502	0.3333333333333333	GRENOBLE	MARSEILLE-AIX
AD3328	AD3577	0.3333333333333333	GRENOBLE	NICE
AD3328	AD3612	0.3333333333333333	GRENOBLE	PARIS
AD3460	AD3549	0.3333333333333333	LILLE	MONTPELLIER
AD3460	UNKNOWN_35409	0.3333333333333333	LILLE	BEN-GUERIR
AD3481	AD3577	0.3333333333333333	LYON	NICE
AD3481	AD4610	0.3333333333333333	LYON	FRANKFURT-MAINZ-DARMSTADT
AD3481	AD8361	0.3333333333333333	LYON	AMSTERDAM
AD3502	AD3612	0.3333333333333333	MARSEILLE-AIX	PARIS
AD3549	AD3612	0.3333333333333333	MONTPELLIER	PARIS
AD3612	AD3822	0.3333333333333333	PARIS	STRASBOURG
AD3612	AD9222	0.3333333333333333	PARIS	PORTO
AD3822	AD6859	0.3333333333333333	STRASBOURG	ROME
AD5683	AD9204	0.3333333333333333	YORK	LISBON
AD6467	AD6715	0.3333333333333333	BOLOGNA	MILAN-PAVIA
AD9204	UNKNOWN_35484	0.3333333333333333	LISBON	SETUBAL
AAPOLY15332	AAPOLY7474	0.16666666666666666	URBINO	POITIERS
AAPOLY15332	AD6467	0.16666666666666666	URBINO	BOLOGNA
AAPOLY15332	AD6748	0.16666666666666666	URBINO	NAPLES
AAPOLY6166	AAPOLY7569	0.16666666666666666	COMPIEGNE	REIMS
AAPOLY6166	AD8508	0.16666666666666666	COMPIEGNE	NIJMEGEN-WAGENINGEN
AAPOLY7474	AD6467	0.16666666666666666	POITIERS	BOLOGNA
AAPOLY7474	AD6748	0.16666666666666666	POITIERS	NAPLES
AAPOLY7569	AD3612	0.16666666666666666	REIMS	PARIS
AAPOLY7569	AD8508	0.16666666666666666	REIMS	NIJMEGEN-WAGENINGEN
AD3612	AD8508	0.16666666666666666	PARIS	NIJMEGEN-WAGENINGEN
AAPOLY8167	AD17415	0.1	VALENCE	CLUJ-NAPOCA
AAPOLY8167	AD3549	0.1	VALENCE	MONTPELLIER
AAPOLY8167	AD4490	0.1	VALENCE	KARLSRUHE
AAPOLY8167	AD4610	0.1	VALENCE	FRANKFURT-MAINZ-DARMSTADT
AD17415	AD3549	0.1	CLUJ-NAPOCA	MONTPELLIER
AD17415	AD4490	0.1	CLUJ-NAPOCA	KARLSRUHE
AD17415	AD4610	0.1	CLUJ-NAPOCA	FRANKFURT-MAINZ-DARMSTADT
AD3549	AD4490	0.1	MONTPELLIER	KARLSRUHE
AD4490	AD4610	0.1	KARLSRUHE	FRANKFURT-MAINZ-DARMSTADT
